Hour,Transactions,Total_Amount,Average_Amount,Fraud_Count,Fraud_Rate_%
0,7647,463346.88,60.59198116908592,6,0.07846214201647705
1,4208,264126.04,62.767595057034214,10,0.2376425855513308
2,3308,232905.95,70.40687726723095,48,1.4510278113663846
3,3487,180492.68,51.76159449383424,17,0.48752509320332665
4,2204,170053.44,77.1567332123412,23,1.043557168784029
5,2988,151498.21,50.70221218206158,11,0.3681392235609103
6,4082,266091.36,65.18651641352278,9,0.22048015678588928
7,7233,491013.04,67.88511544310798,23,0.3179870040094014
8,10232,909560.54,88.8937197028929,9,0.08795934323690383
9,15767,1622964.43,102.93425699245259,16,0.10147777002600367
10,16548,1814463.75,109.64852248005802,8,0.048344210780759005
11,16781,1845834.42,109.99549609677611,53,0.3158333829926703
12,15378,1630932.89,106.05624203407464,17,0.11054753544023929
13,15323,1516582.84,98.97427657769367,17,0.11094433204985969
14,16520,1711371.4,103.59391041162228,23,0.13922518159806296
15,16374,1674869.73,102.2883675338952,26,0.1587883229510199
16,16396,1699260.92,103.63874847523786,22,0.1341790680653818
17,16130,1586636.58,98.36556602603844,28,0.17358958462492252
18,16959,1314396.8,77.50438115454921,28,0.1651040745326965
19,15566,1211502.33,77.83003533341899,19,0.12206090196582296
20,16705,1248209.03,74.72068422627956,18,0.10775217000897935
21,17629,1267553.08,71.90158715752453,16,0.09075954393329173
22,15378,1076371.1,69.9942190141761,9,0.058525165821303154
23,10883,751964.24,69.0953082789672,17,0.15620692823669946
