Time,Amount,Transaction_Type
166198.0,25691.16,Legitimate
48401.0,19656.53,Legitimate
95286.0,18910.0,Legitimate
42951.0,12910.93,Legitimate
46253.0,11898.09,Legitimate
119713.0,11789.84,Legitimate
172273.0,10199.44,Legitimate
145283.0,10000.0,Legitimate
55709.0,8790.26,Legitimate
152763.0,8787.0,Legitimate
144755.0,8360.0,Legitimate
145381.0,8182.7,Legitimate
30537.0,7879.42,Legitimate
150726.0,7862.39,Legitimate
128027.0,7766.6,Legitimate
1264.0,7712.43,Legitimate
47807.0,7636.3,Legitimate
133971.0,7583.32,Legitimate
141546.0,7541.7,Legitimate
32605.0,7429.15,Legitimate
